ID;Модуль;Приоритет;Описание проверки;Статус
1;Авторизация;Высокий;Успешный вход с валидными данными;Пройден
2;Авторизация;Высокий;Попытка входа с неверным паролем/логином;Пройден
3;Авторизация;Средний;Попытка входа с пустыми полями;Пройден
4;Главный экран;Высокий;Корректное отображение списка новостей;Пройден
5;Главный экран;Средний;Сворачивание и разворачивание описания новости;Пройден
6;Боковое меню;Высокий;Открытие бокового меню и навигация по разделам;Пройден
7;Управление новостями;Высокий;Переход в Control Panel;Пройден
8;Управление новостями;Высокий;Создание новости с валидными данными;Пройден
9;Управление новостями;Высокий;Редактирование существующей новости;Пройден
10;Управление новостями;Средний;Удаление новости;Пройден
11;Управление новостями;Средний;Создание новости с пустыми полями (негативный сценарий);Пройден
12;Цитаты;Низкий;Отображение и сворачивание тематических цитат;Пройден
13;Нефункциональные;Средний;Сохранение состояния экрана при повороте устройства;Пройден
14;Нефункциональные;Низкий;Поведение приложения при отсутствии интернета (офлайн);Пройден
15;Нефункциональные;Низкий;Время загрузки ленты новостей (не более 3 сек);Пройден
